p_partkey,p_name,p_mfgr,p_brand,p_type,p_size,p_container,p_retailprice,p_comment
1585,grey honeydew wheat beige green,Manufacturer#4,Brand#43,STANDARD BRUSHED COPPER,20,WRAP BAG,1486.58,uffily ironic a
1586,powder violet magenta chartreuse coral,Manufacturer#4,Brand#41,STANDARD BRUSHED TIN,45,JUMBO CASE,1487.58,en requests.
1587,steel rosy lemon slate maroon,Manufacturer#1,Brand#13,PROMO PLATED TIN,19,MED JAR,1488.58,lar accounts
1588,maroon azure firebrick wheat snow,Manufacturer#5,Brand#55,ECONOMY BURNISHED TIN,6,SM PACK,1489.58,ss depende
1589,cornflower tan gainsboro sandy honeydew,Manufacturer#1,Brand#14,LARGE BRUSHED NICKEL,7,JUMBO BAG,1490.58,odolites. un
1590,firebrick tan lemon green puff,Manufacturer#5,Brand#53,PROMO BRUSHED STEEL,12,MED JAR,1491.59, final instruction
1591,sky mint cyan dodger grey,Manufacturer#2,Brand#23,LARGE POLISHED TIN,42,JUMBO JAR,1492.59, instruction
1592,green pink frosted seashell peach,Manufacturer#3,Brand#31,SMALL ANODIZED COPPER,45,JUMBO BAG,1493.59,gainst the
1593,rosy drab snow chocolate midnight,Manufacturer#4,Brand#44,ECONOMY ANODIZED COPPER,1,LG JAR,1494.59,gular packages accor
1594,dim beige navy honeydew slate,Manufacturer#4,Brand#42,ECONOMY BURNISHED BRASS,16,WRAP CAN,1495.59,eas ha
1595,beige royal ghost linen almond,Manufacturer#5,Brand#52,MEDIUM PLATED BRASS,48,SM CASE,1496.59,le carefully. ironica
1596,steel sky peru navy lavender,Manufacturer#4,Brand#43,MEDIUM ANODIZED COPPER,20,MED CASE,1497.59,"c, ironic plat"
1597,khaki lavender cornflower powder white,Manufacturer#5,Brand#55,SMALL ANODIZED BRASS,1,LG PKG,1498.59,l packages. bli
1598,lavender powder yellow peach indian,Manufacturer#1,Brand#12,ECONOMY BURNISHED COPPER,45,LG BAG,1499.59,nto beans among th
1599,cream deep black tan brown,Manufacturer#5,Brand#55,PROMO BURNISHED NICKEL,12,MED JAR,1500.59, final requ
1600,blanched khaki antique red grey,Manufacturer#2,Brand#21,STANDARD PLATED COPPER,21,LG DRUM,1501.60,onic pinto
1601,tan moccasin khaki sandy hot,Manufacturer#3,Brand#34,SMALL POLISHED STEEL,29,MED DRUM,1502.60,nic pinto beans. pen
1602,mint red pale midnight orange,Manufacturer#5,Brand#51,SMALL POLISHED STEEL,49,JUMBO PACK,1503.60,ccording to the pack
1603,saddle orange chocolate magenta turquoise,Manufacturer#4,Brand#43,LARGE POLISHED TIN,45,LG DRUM,1504.60,ly fi
1604,linen salmon ivory navajo bisque,Manufacturer#2,Brand#25,LARGE PLATED TIN,6,SM DRUM,1505.60,lithely sp
1605,honeydew cream papaya firebrick frosted,Manufacturer#1,Brand#13,PROMO POLISHED NICKEL,37,JUMBO PKG,1506.60,ckages are 
1606,honeydew wheat hot white lime,Manufacturer#5,Brand#53,LARGE ANODIZED NICKEL,32,SM CAN,1507.60,efully after
1607,drab orange brown tan lemon,Manufacturer#2,Brand#23,SMALL BRUSHED BRASS,30,JUMBO CAN,1508.60,cial theodolites 
1608,khaki deep brown grey peach,Manufacturer#3,Brand#31,MEDIUM BURNISHED COPPER,3,SM CASE,1509.60,top the furiously bo
1609,navajo cornsilk rosy spring cyan,Manufacturer#2,Brand#24,ECONOMY BURNISHED BRASS,34,WRAP CAN,1510.60,the finally fin
1610,violet puff chocolate indian deep,Manufacturer#2,Brand#24,SMALL BURNISHED NICKEL,29,JUMBO CAN,1511.61,along the blithely
1611,cornsilk turquoise blanched forest maroon,Manufacturer#5,Brand#51,LARGE BRUSHED BRASS,1,WRAP CASE,1512.61,unts. fluffily unusua
1612,rose thistle ghost snow burlywood,Manufacturer#2,Brand#21,ECONOMY BURNISHED TIN,29,LG CASE,1513.61,ular packages across 
1613,rose bisque forest cornflower cream,Manufacturer#4,Brand#44,STANDARD PLATED COPPER,28,MED CASE,1514.61,iously ironic 
1614,papaya navy lawn burnished chocolate,Manufacturer#2,Brand#23,ECONOMY BURNISHED STEEL,2,LG PKG,1515.61,kly final pinto beans
1615,metallic bisque dark goldenrod dodger,Manufacturer#3,Brand#32,STANDARD BURNISHED NICKEL,29,JUMBO JAR,1516.61, the slyly bold theod
1616,moccasin tomato firebrick peru cyan,Manufacturer#3,Brand#33,MEDIUM POLISHED TIN,48,SM CAN,1517.61,count
1617,dodger grey drab moccasin lemon,Manufacturer#4,Brand#43,LARGE POLISHED BRASS,44,WRAP CASE,1518.61,haggle about
1618,magenta lace wheat linen yellow,Manufacturer#4,Brand#45,STANDARD ANODIZED NICKEL,9,WRAP PACK,1519.61,ckly 
1619,yellow cornflower sky grey puff,Manufacturer#1,Brand#11,MEDIUM PLATED BRASS,12,LG PKG,1520.61,es. g
1620,slate bisque black orange steel,Manufacturer#5,Brand#54,LARGE BURNISHED TIN,42,SM PACK,1521.62,closely among
1621,burnished sky sandy sienna red,Manufacturer#2,Brand#23,PROMO ANODIZED TIN,17,JUMBO PACK,1522.62,ly ironic requ
1622,white olive navajo bisque thistle,Manufacturer#3,Brand#33,SMALL ANODIZED COPPER,10,MED CASE,1523.62, courts 
1623,powder olive spring puff azure,Manufacturer#5,Brand#51,ECONOMY PLATED NICKEL,49,WRAP DRUM,1524.62,rmanently final d
1624,smoke firebrick blue seashell red,Manufacturer#4,Brand#44,LARGE ANODIZED BRASS,19,LG PKG,1525.62,slyly quickly s
1625,orange burlywood hot rose green,Manufacturer#4,Brand#44,SMALL PLATED TIN,43,MED DRUM,1526.62,nal ideas are carefull
1626,lavender slate turquoise dim cornsilk,Manufacturer#4,Brand#45,ECONOMY PLATED TIN,34,MED DRUM,1527.62,"ng, final ideas."
1627,chiffon lawn saddle powder peach,Manufacturer#3,Brand#33,MEDIUM BRUSHED STEEL,13,SM DRUM,1528.62,ously regular packag
1628,almond smoke red metallic tan,Manufacturer#3,Brand#31,MEDIUM BURNISHED COPPER,40,JUMBO PKG,1529.62,platelets cajo
1629,pink azure burnished thistle dim,Manufacturer#2,Brand#25,MEDIUM BRUSHED NICKEL,10,WRAP PACK,1530.62,nts s
1630,orchid blue dark seashell smoke,Manufacturer#4,Brand#45,PROMO POLISHED BRASS,3,MED DRUM,1531.63,ctions cajole about t
1631,cornsilk blue yellow powder lime,Manufacturer#2,Brand#23,SMALL BURNISHED COPPER,49,JUMBO PACK,1532.63,e accounts. 
1632,almond cornsilk antique light honeydew,Manufacturer#4,Brand#43,STANDARD PLATED COPPER,4,SM PACK,1533.63,s poach among
1633,seashell midnight dodger sky burlywood,Manufacturer#3,Brand#35,MEDIUM BRUSHED STEEL,33,WRAP BOX,1534.63,g platelets
1634,blush plum tomato floral olive,Manufacturer#2,Brand#21,ECONOMY PLATED BRASS,15,LG CAN,1535.63,"ending, expres"
1635,peach orange honeydew red cream,Manufacturer#2,Brand#23,LARGE PLATED NICKEL,34,SM DRUM,1536.63,ickly 
1636,blush yellow red dodger navy,Manufacturer#2,Brand#22,PROMO PLATED STEEL,50,SM PACK,1537.63,xpress sheave
1637,white green ghost frosted aquamarine,Manufacturer#4,Brand#42,PROMO BRUSHED BRASS,48,LG DRUM,1538.63,ecial pinto beans. p
1638,lavender medium deep saddle gainsboro,Manufacturer#5,Brand#51,LARGE PLATED COPPER,35,WRAP BAG,1539.63,t the regu
1639,sienna green yellow wheat maroon,Manufacturer#4,Brand#41,MEDIUM BRUSHED COPPER,5,SM PACK,1540.63,ss accounts unwind pin
1640,steel lavender cream peru brown,Manufacturer#5,Brand#51,MEDIUM ANODIZED STEEL,2,WRAP BAG,1541.64,ully carefu
1641,navajo dim brown violet forest,Manufacturer#1,Brand#12,MEDIUM PLATED BRASS,21,LG DRUM,1542.64,fully among the ca
1642,floral lime misty lace purple,Manufacturer#5,Brand#52,SMALL BURNISHED STEEL,47,JUMBO BOX,1543.64,y regu
1643,light lemon salmon navy medium,Manufacturer#1,Brand#13,LARGE ANODIZED TIN,19,JUMBO CASE,1544.64, affix carefully. care
1644,deep grey powder steel peach,Manufacturer#3,Brand#31,PROMO PLATED STEEL,38,MED PACK,1545.64,g careful
1645,brown blush frosted moccasin olive,Manufacturer#1,Brand#14,STANDARD BRUSHED COPPER,41,JUMBO JAR,1546.64,rnis detect careful
1646,burlywood smoke tan steel royal,Manufacturer#4,Brand#43,PROMO ANODIZED STEEL,11,SM DRUM,1547.64,s wake furiou
1647,plum lime salmon wheat azure,Manufacturer#1,Brand#14,STANDARD POLISHED TIN,38,SM CAN,1548.64,g quick
1648,rose maroon midnight sienna honeydew,Manufacturer#4,Brand#42,LARGE POLISHED BRASS,13,WRAP BAG,1549.64,efully
1649,seashell cornflower smoke midnight white,Manufacturer#5,Brand#54,LARGE ANODIZED BRASS,49,MED CASE,1550.64," ironic,"
1650,dark black almond olive salmon,Manufacturer#1,Brand#15,STANDARD POLISHED STEEL,34,WRAP PACK,1551.65, cajole furio
1651,navy dodger snow chocolate lace,Manufacturer#3,Brand#32,LARGE ANODIZED NICKEL,33,JUMBO DRUM,1552.65,eans wake. quic
1652,olive almond papaya smoke sienna,Manufacturer#1,Brand#12,PROMO BRUSHED STEEL,20,JUMBO BOX,1553.65," ironic, cl"
1653,chartreuse white firebrick salmon slate,Manufacturer#3,Brand#35,STANDARD BURNISHED NICKEL,27,LG PACK,1554.65,o beans integrate 
1654,turquoise lemon deep chiffon red,Manufacturer#2,Brand#22,SMALL BURNISHED TIN,2,LG JAR,1555.65,s after the never spec
1655,hot firebrick violet wheat bisque,Manufacturer#3,Brand#35,MEDIUM BRUSHED COPPER,6,SM CASE,1556.65, above the blith
1656,navajo deep saddle grey goldenrod,Manufacturer#2,Brand#22,PROMO POLISHED BRASS,7,JUMBO JAR,1557.65,the packages. quic
1657,saddle azure sky burlywood lace,Manufacturer#3,Brand#33,PROMO PLATED TIN,17,WRAP CASE,1558.65,boost carefully am
1658,seashell smoke dark white deep,Manufacturer#3,Brand#34,MEDIUM BURNISHED TIN,20,SM BAG,1559.65,sly flu
1659,peru white wheat midnight khaki,Manufacturer#5,Brand#55,PROMO BURNISHED STEEL,14,SM CAN,1560.65,ake about the blithely
1660,lemon deep pink indian puff,Manufacturer#4,Brand#45,MEDIUM BRUSHED NICKEL,38,SM CASE,1561.66,"yly blithe, regular"
1661,metallic sky chiffon plum steel,Manufacturer#3,Brand#34,ECONOMY ANODIZED COPPER,41,SM PKG,1562.66,"ng, unusual accounts a"
1662,black linen ghost coral magenta,Manufacturer#1,Brand#11,ECONOMY BRUSHED STEEL,34,MED PKG,1563.66, slyly even ins
1663,yellow blue slate hot honeydew,Manufacturer#2,Brand#23,PROMO ANODIZED COPPER,2,WRAP PACK,1564.66,fter the fluffi
1664,antique brown tan red mint,Manufacturer#2,Brand#22,SMALL ANODIZED BRASS,31,MED CASE,1565.66,ickly ironic i
1665,seashell almond frosted medium blanched,Manufacturer#4,Brand#45,STANDARD BURNISHED BRASS,27,WRAP DRUM,1566.66, carefully ac
1666,chiffon saddle snow ghost blanched,Manufacturer#3,Brand#35,LARGE PLATED BRASS,24,WRAP PKG,1567.66,sly regular deposits
1667,pale firebrick cornflower cyan violet,Manufacturer#3,Brand#34,SMALL ANODIZED STEEL,23,LG BAG,1568.66,yly even ideas in
1668,pink azure ghost lemon linen,Manufacturer#2,Brand#25,PROMO PLATED COPPER,33,LG CAN,1569.66,kly bus
1669,purple lace tomato plum grey,Manufacturer#1,Brand#12,SMALL ANODIZED BRASS,39,LG JAR,1570.66,. ruthless accou
1670,black tan metallic dark misty,Manufacturer#1,Brand#14,MEDIUM POLISHED TIN,49,WRAP CASE,1571.67,sy platelets. bravely 
1671,pink pale light burlywood aquamarine,Manufacturer#2,Brand#25,PROMO ANODIZED COPPER,28,SM PACK,1572.67,yly r
1672,green medium salmon white papaya,Manufacturer#5,Brand#52,LARGE ANODIZED STEEL,41,MED CAN,1573.67, unusu
1673,rosy dodger puff maroon papaya,Manufacturer#2,Brand#22,MEDIUM ANODIZED TIN,7,MED PACK,1574.67,fily special asymp
1674,chocolate indian lemon light magenta,Manufacturer#1,Brand#13,MEDIUM PLATED STEEL,38,MED BAG,1575.67, multiplie
1675,antique orchid burlywood orange lime,Manufacturer#3,Brand#32,SMALL POLISHED TIN,45,MED PACK,1576.67,"thely? pending,"
1676,blush tomato lace puff orchid,Manufacturer#4,Brand#45,MEDIUM BURNISHED BRASS,33,SM JAR,1577.67,pecial packa
1677,orchid indian pink slate snow,Manufacturer#3,Brand#32,MEDIUM BURNISHED COPPER,44,LG BOX,1578.67,ns. furiously silen
1678,steel linen wheat peru lawn,Manufacturer#1,Brand#15,SMALL BRUSHED STEEL,20,SM DRUM,1579.67,uests grow slyly alo
1679,white blue bisque orchid puff,Manufacturer#3,Brand#34,MEDIUM POLISHED COPPER,38,JUMBO PKG,1580.67,s theodolites no
1680,pink yellow lace green olive,Manufacturer#2,Brand#24,PROMO PLATED BRASS,18,SM BAG,1581.68,kages cajole slyly al
1681,pink beige salmon hot azure,Manufacturer#1,Brand#15,PROMO BRUSHED NICKEL,18,JUMBO CAN,1582.68,ges. fu
1682,lavender bisque light cream seashell,Manufacturer#3,Brand#31,SMALL ANODIZED COPPER,3,WRAP CASE,1583.68,tions af
1683,spring royal cyan tomato slate,Manufacturer#1,Brand#12,PROMO BRUSHED STEEL,34,LG BOX,1584.68,ithely among t
1684,wheat brown gainsboro green ghost,Manufacturer#2,Brand#23,LARGE BRUSHED NICKEL,26,LG JAR,1585.68, pinto beans aga
1685,frosted aquamarine sandy lace rosy,Manufacturer#3,Brand#34,ECONOMY BRUSHED COPPER,48,MED JAR,1586.68,elets. pending
1686,ivory smoke papaya turquoise purple,Manufacturer#2,Brand#21,MEDIUM BURNISHED STEEL,23,SM BAG,1587.68,y sly packages: f
1687,cream burnished steel royal lemon,Manufacturer#5,Brand#54,STANDARD POLISHED NICKEL,6,JUMBO PKG,1588.68,s wake slyl
1688,chartreuse brown peach drab snow,Manufacturer#5,Brand#54,ECONOMY POLISHED NICKEL,22,MED JAR,1589.68,o the blithely fina
1689,moccasin gainsboro red frosted rosy,Manufacturer#2,Brand#22,LARGE BURNISHED STEEL,7,SM JAR,1590.68,ickly fi
1690,hot yellow navy spring metallic,Manufacturer#3,Brand#33,SMALL POLISHED NICKEL,34,JUMBO CASE,1591.69,except the foxes. sl
1691,antique saddle almond lawn lemon,Manufacturer#5,Brand#55,PROMO BURNISHED BRASS,12,SM BOX,1592.69,equests. furiously
1692,green drab puff honeydew cyan,Manufacturer#5,Brand#52,SMALL BRUSHED TIN,31,MED DRUM,1593.69, ironic theodoli
1693,wheat floral snow rose orchid,Manufacturer#2,Brand#21,LARGE BRUSHED BRASS,27,MED PKG,1594.69,ts. b
1694,spring burlywood cornsilk saddle sienna,Manufacturer#3,Brand#31,STANDARD BURNISHED NICKEL,33,WRAP BAG,1595.69, requests. 
1695,ghost maroon green khaki plum,Manufacturer#3,Brand#35,PROMO POLISHED BRASS,28,SM CAN,1596.69,es wake e
1696,dark floral beige hot cornflower,Manufacturer#1,Brand#11,SMALL PLATED COPPER,46,SM DRUM,1597.69, theodolite
1697,midnight moccasin blush royal black,Manufacturer#3,Brand#35,LARGE BURNISHED STEEL,44,WRAP BOX,1598.69,nal foxes haggle slyl
1698,purple black moccasin medium green,Manufacturer#3,Brand#33,PROMO BRUSHED BRASS,30,MED PACK,1599.69,odolites affix against
1699,tan lemon goldenrod firebrick rose,Manufacturer#4,Brand#44,ECONOMY BRUSHED STEEL,26,LG BOX,1600.69,ole. ca
1700,blush beige goldenrod red yellow,Manufacturer#1,Brand#12,ECONOMY PLATED NICKEL,27,MED JAR,1601.70,ular pinto beans. 
1701,orchid blanched hot firebrick dark,Manufacturer#2,Brand#22,STANDARD PLATED COPPER,20,JUMBO BOX,1602.70, slyly specia
1702,indian cornflower cream rosy royal,Manufacturer#1,Brand#13,MEDIUM BRUSHED NICKEL,26,MED CASE,1603.70,closely ironic ins
1703,ghost gainsboro blush royal green,Manufacturer#2,Brand#22,ECONOMY PLATED BRASS,40,LG DRUM,1604.70,arefully. furi
1704,almond smoke wheat seashell powder,Manufacturer#2,Brand#24,SMALL BURNISHED NICKEL,48,JUMBO CASE,1605.70,p furiously unusu
1705,floral pale cornflower metallic spring,Manufacturer#2,Brand#25,PROMO BURNISHED STEEL,18,WRAP PACK,1606.70,uctions. furiously 
1706,mint dodger smoke coral tomato,Manufacturer#1,Brand#13,ECONOMY BRUSHED BRASS,7,JUMBO PKG,1607.70,ly above the 
1707,misty plum sienna powder tan,Manufacturer#5,Brand#51,LARGE POLISHED NICKEL,46,WRAP BAG,1608.70,le blithely alo
1708,rose hot powder peach red,Manufacturer#2,Brand#21,ECONOMY BRUSHED COPPER,30,MED PACK,1609.70,s. regu
1709,saddle royal lemon wheat lime,Manufacturer#5,Brand#55,LARGE ANODIZED COPPER,7,SM PACK,1610.70,mptotes
1710,cornsilk khaki olive navy tan,Manufacturer#4,Brand#43,PROMO BURNISHED STEEL,3,JUMBO BOX,1611.71,requests boo
1711,cornsilk burnished black blanched turquoise,Manufacturer#5,Brand#55,MEDIUM BRUSHED TIN,45,LG BAG,1612.71,ons. slyly
1712,olive snow saddle lawn linen,Manufacturer#2,Brand#25,LARGE POLISHED STEEL,1,JUMBO CASE,1613.71,mptotes. blithely 
1713,blanched peach salmon chiffon azure,Manufacturer#2,Brand#24,PROMO BRUSHED STEEL,12,WRAP PACK,1614.71,aggle across the 
1714,brown lime sky purple salmon,Manufacturer#3,Brand#31,MEDIUM POLISHED TIN,44,MED CAN,1615.71,y pending dep
1715,chiffon pink bisque yellow frosted,Manufacturer#4,Brand#44,ECONOMY PLATED COPPER,37,LG CASE,1616.71,ze blithely. bus
1716,bisque navajo cream olive tan,Manufacturer#3,Brand#32,SMALL BRUSHED COPPER,12,WRAP DRUM,1617.71,ut the
1717,bisque misty firebrick lemon dodger,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,21,MED JAR,1618.71,uriously along
1718,mint deep frosted yellow cream,Manufacturer#2,Brand#24,STANDARD POLISHED NICKEL,14,WRAP JAR,1619.71, even foxes doubt fur
1719,lace cornflower spring pink plum,Manufacturer#5,Brand#52,ECONOMY POLISHED NICKEL,29,JUMBO JAR,1620.71,iously even
1720,rosy white blush ghost aquamarine,Manufacturer#3,Brand#35,ECONOMY ANODIZED NICKEL,1,WRAP CASE,1621.72,he foxes
1721,spring pale navajo purple dodger,Manufacturer#1,Brand#15,ECONOMY BURNISHED STEEL,39,SM PACK,1622.72,unts. c
1722,olive misty orange navy cream,Manufacturer#5,Brand#55,STANDARD PLATED TIN,44,WRAP CAN,1623.72,ons affix slyl
1723,wheat dim moccasin royal seashell,Manufacturer#5,Brand#55,LARGE BRUSHED TIN,50,WRAP PACK,1624.72,s boost slyly 
1724,dim orange dodger khaki light,Manufacturer#3,Brand#33,ECONOMY PLATED STEEL,34,WRAP CASE,1625.72,posits b
1725,frosted violet seashell linen sienna,Manufacturer#5,Brand#51,STANDARD ANODIZED BRASS,22,LG CAN,1626.72,s. quickly spe
1726,navy dim mint saddle floral,Manufacturer#3,Brand#35,LARGE PLATED COPPER,28,JUMBO JAR,1627.72,unts. ironic 
1727,dim puff frosted brown sky,Manufacturer#3,Brand#33,SMALL PLATED BRASS,6,WRAP CAN,1628.72,es haggle. carefully p
1728,lace sky gainsboro dark ivory,Manufacturer#5,Brand#55,SMALL POLISHED BRASS,10,LG PACK,1629.72,"bout the even, pe"
1729,burnished cornsilk chiffon plum forest,Manufacturer#3,Brand#33,SMALL BRUSHED COPPER,17,WRAP BAG,1630.72,fully e
1730,lavender grey chiffon gainsboro papaya,Manufacturer#1,Brand#13,ECONOMY BRUSHED COPPER,47,MED PACK,1631.73,bold ac
1731,beige lemon forest lace plum,Manufacturer#3,Brand#32,ECONOMY PLATED STEEL,40,MED DRUM,1632.73,ly bold accounts
1732,peru tan white chocolate navy,Manufacturer#1,Brand#15,LARGE BURNISHED COPPER,6,LG DRUM,1633.73,efully ironic plat
1733,chiffon goldenrod grey light coral,Manufacturer#3,Brand#33,STANDARD PLATED NICKEL,8,WRAP DRUM,1634.73,thely accordin
1734,tan pink coral snow honeydew,Manufacturer#5,Brand#54,PROMO POLISHED NICKEL,42,LG CASE,1635.73,ss the carefully 
1735,white frosted maroon ghost yellow,Manufacturer#4,Brand#44,STANDARD PLATED TIN,7,JUMBO JAR,1636.73,ronic
1736,dim orange beige plum navy,Manufacturer#2,Brand#24,ECONOMY POLISHED NICKEL,38,SM PKG,1637.73,e foxes. neve
1737,puff bisque moccasin mint chiffon,Manufacturer#3,Brand#32,ECONOMY POLISHED BRASS,29,WRAP PKG,1638.73, blithely bli
1738,olive goldenrod magenta metallic lime,Manufacturer#5,Brand#52,LARGE ANODIZED NICKEL,4,WRAP CAN,1639.73,posits integrate s
1739,honeydew saddle orange white sandy,Manufacturer#2,Brand#24,MEDIUM BURNISHED COPPER,47,JUMBO BOX,1640.73,"usual, regular id"
1740,dim grey gainsboro chiffon aquamarine,Manufacturer#2,Brand#21,STANDARD BURNISHED TIN,16,WRAP CAN,1641.74,instructions a
1741,dark violet medium frosted goldenrod,Manufacturer#5,Brand#52,SMALL ANODIZED STEEL,9,JUMBO BAG,1642.74,hely across the 
1742,powder rose lemon maroon papaya,Manufacturer#5,Brand#54,STANDARD BURNISHED BRASS,43,WRAP DRUM,1643.74,gainst the never even 
1743,blue spring grey bisque orange,Manufacturer#3,Brand#31,LARGE PLATED STEEL,30,JUMBO JAR,1644.74,lly unusual
1744,cream lavender black grey royal,Manufacturer#2,Brand#24,LARGE POLISHED BRASS,27,JUMBO BOX,1645.74,s use blithel
1745,burnished azure sienna navajo peru,Manufacturer#3,Brand#31,SMALL BURNISHED COPPER,24,MED PKG,1646.74,ts? fina
1746,forest lime maroon hot coral,Manufacturer#1,Brand#13,MEDIUM POLISHED NICKEL,37,WRAP DRUM,1647.74,riously ironi
1747,burnished peru lawn cyan sienna,Manufacturer#5,Brand#55,SMALL BURNISHED COPPER,28,LG CAN,1648.74, the 
1748,smoke beige royal magenta lavender,Manufacturer#4,Brand#45,ECONOMY POLISHED STEEL,34,JUMBO CAN,1649.74,s cajole blithely sp
1749,burnished turquoise forest smoke plum,Manufacturer#3,Brand#32,LARGE BURNISHED COPPER,29,MED CASE,1650.74,y even instructio
1750,sandy pink turquoise magenta saddle,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,44,JUMBO BAG,1651.75,structions along 
1751,sienna pale royal cream midnight,Manufacturer#2,Brand#21,ECONOMY PLATED COPPER,24,SM CASE,1652.75,le frets.
1752,pale cyan lawn medium smoke,Manufacturer#1,Brand#11,PROMO BRUSHED NICKEL,22,SM PACK,1653.75, special
1753,beige smoke slate steel lavender,Manufacturer#2,Brand#24,ECONOMY POLISHED TIN,50,MED PACK,1654.75,ly pending d
1754,tan gainsboro dim azure spring,Manufacturer#1,Brand#11,LARGE BURNISHED NICKEL,39,LG CASE,1655.75,ously final dep
1755,maroon mint drab deep white,Manufacturer#4,Brand#41,ECONOMY PLATED STEEL,43,LG PACK,1656.75,", express requests"
1756,powder olive turquoise plum tan,Manufacturer#5,Brand#52,ECONOMY POLISHED COPPER,10,WRAP CASE,1657.75,ions. quickly p
1757,dark moccasin snow lavender salmon,Manufacturer#4,Brand#43,ECONOMY BRUSHED BRASS,33,SM DRUM,1658.75,ructions. pend
1758,gainsboro white medium spring navajo,Manufacturer#1,Brand#13,PROMO ANODIZED NICKEL,39,MED DRUM,1659.75,y unusua
1759,dim spring tan turquoise dodger,Manufacturer#1,Brand#15,PROMO POLISHED TIN,43,SM BAG,1660.75,ckages-- e
1760,floral metallic lawn deep sky,Manufacturer#2,Brand#22,STANDARD PLATED NICKEL,3,LG BOX,1661.76,ackag
1761,peru rose green metallic blanched,Manufacturer#4,Brand#41,STANDARD ANODIZED BRASS,42,SM JAR,1662.76,carefully: care
1762,medium chocolate dodger papaya slate,Manufacturer#3,Brand#34,SMALL BURNISHED COPPER,7,SM DRUM,1663.76,around
1763,turquoise wheat smoke puff steel,Manufacturer#2,Brand#22,LARGE BURNISHED TIN,36,SM BAG,1664.76,fully even packages.
1764,misty indian blanched dark plum,Manufacturer#5,Brand#51,SMALL BRUSHED TIN,13,JUMBO BAG,1665.76,uick foxes alon
1765,saddle ivory lime papaya lace,Manufacturer#2,Brand#24,PROMO ANODIZED STEEL,50,JUMBO DRUM,1666.76, slyly even r
1766,pink plum sandy linen goldenrod,Manufacturer#3,Brand#33,MEDIUM BRUSHED TIN,18,JUMBO BOX,1667.76,al accounts 
1767,seashell deep peru puff coral,Manufacturer#4,Brand#42,ECONOMY POLISHED TIN,1,WRAP BOX,1668.76,iously! fu
1768,puff black seashell blush forest,Manufacturer#5,Brand#54,MEDIUM ANODIZED NICKEL,10,LG DRUM,1669.76,carefully. final a
1769,ghost indian brown purple cyan,Manufacturer#5,Brand#55,LARGE BRUSHED NICKEL,9,WRAP DRUM,1670.76,lways ironic package
1770,aquamarine snow powder cornsilk hot,Manufacturer#5,Brand#55,STANDARD PLATED TIN,24,WRAP PKG,1671.77, furiously bol
1771,ghost steel thistle honeydew pink,Manufacturer#4,Brand#42,MEDIUM PLATED NICKEL,2,WRAP JAR,1672.77,its. blithely 
1772,dark hot grey peach black,Manufacturer#4,Brand#44,PROMO POLISHED STEEL,6,MED BAG,1673.77,even packages. sl
1773,sandy turquoise indian steel tan,Manufacturer#5,Brand#52,LARGE ANODIZED TIN,12,MED JAR,1674.77,"ress, s"
1774,khaki lavender rose tomato thistle,Manufacturer#4,Brand#45,LARGE PLATED STEEL,22,SM DRUM,1675.77,he packages
1775,white dim green aquamarine turquoise,Manufacturer#4,Brand#41,STANDARD ANODIZED STEEL,12,LG PKG,1676.77,ackages. spec
1776,dark linen orange plum seashell,Manufacturer#2,Brand#24,PROMO PLATED NICKEL,13,JUMBO CAN,1677.77,wake bli
1777,burnished black almond white violet,Manufacturer#3,Brand#33,ECONOMY PLATED STEEL,48,WRAP JAR,1678.77,y. pending reque
1778,honeydew sky salmon misty lavender,Manufacturer#3,Brand#32,SMALL ANODIZED TIN,9,JUMBO DRUM,1679.77,lowly fi
1779,rose wheat cream chartreuse goldenrod,Manufacturer#5,Brand#53,LARGE PLATED BRASS,9,LG DRUM,1680.77,structions inte
1780,linen metallic smoke sky puff,Manufacturer#3,Brand#31,STANDARD PLATED TIN,38,JUMBO JAR,1681.78,osits cajole depo
1781,black indian forest hot olive,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,11,WRAP CAN,1682.78,eodolites along the
1782,firebrick seashell olive ivory mint,Manufacturer#5,Brand#51,STANDARD BURNISHED COPPER,19,WRAP JAR,1683.78,c request
1783,honeydew yellow dodger midnight purple,Manufacturer#3,Brand#34,ECONOMY ANODIZED BRASS,30,WRAP PACK,1684.78,fully regular 
1784,dim blanched sienna indian sandy,Manufacturer#2,Brand#23,PROMO BRUSHED NICKEL,34,MED PKG,1685.78,side o
1785,chocolate dim honeydew orange dodger,Manufacturer#3,Brand#33,SMALL BRUSHED STEEL,42,JUMBO CASE,1686.78,ial requ
1786,floral brown burnished blue metallic,Manufacturer#3,Brand#34,STANDARD PLATED STEEL,11,MED PACK,1687.78,"furiously even, fi"
1787,lemon indian azure orange steel,Manufacturer#5,Brand#54,PROMO ANODIZED COPPER,38,LG CASE,1688.78, engage blithely. 
1788,dim hot bisque lime smoke,Manufacturer#3,Brand#31,PROMO PLATED STEEL,34,JUMBO BOX,1689.78,es. ca
1789,lavender chartreuse turquoise rose peach,Manufacturer#2,Brand#21,PROMO PLATED STEEL,29,WRAP PKG,1690.78,ular requests
